head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,What is the capital of France? Answer:,0.0078125,0.0390625,False,1,4.298466682434082,4.233038902282715,-0.06542778015136719,0.0022383704781532288
L0.H0,1,What is the capital of Germany? Answer:,-0.0048828125,-0.0234375,False,1,4.094885349273682,4.098639488220215,0.003754138946533203,0.001602992182597518
L0.H0,2,What is the capital of Italy? Answer:,0.007568359375,0.0234375,False,1,3.587888479232788,3.5492191314697266,-0.03866934776306152,0.0016414150595664978
L0.H0,3,What is the capital of Spain? Answer:,0.001953125,0.0078125,False,1,3.0264382362365723,3.012469530105591,-0.013968706130981445,0.0009519017767161131
L0.H0,4,What is the capital of Portugal? Answer:,0.00048828125,0.0,False,1,3.293160915374756,3.2793004512786865,-0.013860464096069336,0.0019123455276712775
L0.H0,5,What is the capital of Greece? Answer:,0.0086669921875,0.046875,False,1,4.243674278259277,4.19813871383667,-0.04553556442260742,0.0020765638910233974
L0.H0,6,What is the capital of Poland? Answer:,-0.0146484375,-0.0859375,False,1,4.122097969055176,4.176482677459717,0.054384708404541016,0.0019251583144068718
L0.H0,7,What is the capital of Norway? Answer:,0.022705078125,0.109375,False,1,3.5114564895629883,3.375964879989624,-0.13549160957336426,0.0028056707233190536
L0.H0,8,What is the capital of Sweden? Answer:,0.0107421875,0.0859375,False,1,2.4571471214294434,2.372195243835449,-0.08495187759399414,0.0015656136674806476
L0.H0,9,What is the capital of Switzerland? Answer:,0.0069580078125,0.046875,False,1,3.8409197330474854,3.801482677459717,-0.039437055587768555,0.0021800128743052483
L0.H0,10,What is the capital of Hungary? Answer:,0.01220703125,0.0703125,False,1,3.256287097930908,3.175952196121216,-0.08033490180969238,0.0014952659839764237
L0.H0,11,What is the capital of Czech Republic? Answer:,-0.00048828125,-0.015625,False,1,2.9013004302978516,2.9114553928375244,0.010154962539672852,0.0008593025850132108
L0.H0,12,What is the capital of Slovakia? Answer:,-0.0087890625,-0.0390625,False,1,3.2836413383483887,3.3201377391815186,0.03649640083312988,0.0008861852693371475
L0.H0,13,What is the capital of Romania? Answer:,0.00244140625,0.0234375,False,1,2.973750352859497,2.948000907897949,-0.02574944496154785,0.0006310765165835619
L0.H0,14,What is the capital of Bulgaria? Answer:,-0.00537109375,-0.0234375,False,1,1.4859671592712402,1.5028891563415527,0.0169219970703125,0.001065809279680252
L0.H0,15,What is the capital of Croatia? Answer:,0.01171875,0.0546875,False,1,2.884982109069824,2.848066568374634,-0.03691554069519043,0.001105619827285409
L0.H0,16,What is the capital of Serbia? Answer:,-0.0107421875,-0.0546875,False,1,1.8287878036499023,1.8866338729858398,0.0578460693359375,0.0011117385001853108
L0.H0,17,What is the capital of Ukraine? Answer:,-0.0006103515625,-0.0078125,False,1,4.459478855133057,4.4756598472595215,0.016180992126464844,0.0008588202763348818
L0.H0,18,What is the capital of Lithuania? Answer:,0.005859375,0.046875,False,1,1.0094780921936035,0.9759116172790527,-0.03356647491455078,0.0002440144307911396
