head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,Answer with a French word. English: 'Sun' / French: ',0.0009765625,0.0,False,1,1.6634986400604248,1.63900625705719,-0.024492383003234863,0.0005590749206021428
L0.H0,1,Answer with a French word. English: 'Moon' / French: ',-0.0035400390625,0.0078125,False,1,3.936178684234619,3.908022880554199,-0.028155803680419922,0.0008359882049262524
L0.H0,2,Answer with a French word. English: 'Father' / French: ',0.011474609375,0.09375,False,1,2.1165740489959717,2.046027183532715,-0.07054686546325684,0.0008653336553834379
L0.H0,3,Answer with a French word. English: 'Time' / French: ',0.00390625,0.015625,False,1,0.6818049550056458,0.6672804951667786,-0.014524459838867188,4.8528279876336455e-05
L0.H0,4,Answer with a French word. English: 'Water' / French: ',0.0068359375,0.03125,False,1,3.225471019744873,3.172309398651123,-0.05316162109375,0.0011027674190700054
L0.H0,5,Answer with a French word. English: 'Mother' / French: ',0.01904296875,0.09375,False,1,2.105421543121338,2.0062801837921143,-0.09914135932922363,0.001426416914910078
L0.H0,6,Answer with a French word. English: 'Bread' / French: ',0.01953125,0.046875,False,1,1.8446714878082275,1.77946138381958,-0.06521010398864746,0.001936913700774312
L0.H0,7,Answer with a French word. English: 'Sky' / French: ',0.01123046875,0.046875,False,1,3.8966565132141113,3.8324129581451416,-0.06424355506896973,0.0010349557269364595
L0.H0,8,Answer with a French word. English: 'Door' / French: ',0.00732421875,0.0078125,False,1,3.7130560874938965,3.7010440826416016,-0.012012004852294922,0.0007790947565808892
L0.H0,9,Answer with a French word. English: 'Year' / French: ',0.02099609375,0.140625,False,1,2.865412473678589,2.7818281650543213,-0.08358430862426758,0.00298659922555089
L0.H0,10,Answer with a French word. English: 'Big' / French: ',0.003173828125,0.0546875,False,1,3.762178659439087,3.708106279373169,-0.05407238006591797,0.0008625610498711467
L0.H0,11,Answer with a French word. English: 'Dog' / French: ',0.0087890625,0.0703125,False,1,3.6253676414489746,3.5387635231018066,-0.08660411834716797,0.0015866882167756557
L0.H0,12,Answer with a French word. English: 'Today' / French: ',0.01611328125,0.078125,False,1,2.4388275146484375,2.37492299079895,-0.0639045238494873,0.0013248207978904247
L0.H0,13,Answer with a French word. English: 'City' / French: ',0.01171875,0.109375,False,1,2.407865047454834,2.3033337593078613,-0.10453128814697266,0.0016927793622016907
L0.H0,14,Answer with a French word. English: 'Love' / French: ',0.0062255859375,0.0625,False,1,3.2069263458251953,3.15405011177063,-0.05287623405456543,0.0028831008821725845
L0.H0,15,Answer with a French word. English: 'Book' / French: ',-0.006591796875,-0.0390625,False,1,3.8467471599578857,3.834346055984497,-0.012401103973388672,0.0022385120391845703
L0.H0,16,Answer with a French word. English: 'Road' / French: ',-0.002685546875,-0.0234375,False,1,3.1732215881347656,3.161961078643799,-0.011260509490966797,0.0008273613639175892
L0.H0,17,Answer with a French word. English: 'Woman' / French: ',0.0032958984375,0.03125,False,1,3.784435749053955,3.745187759399414,-0.039247989654541016,0.001195420976728201
L0.H0,18,Answer with a French word. English: 'Milk' / French: ',0.0006103515625,0.0078125,False,1,3.952495813369751,3.9199419021606445,-0.032553911209106445,0.0009199439082294703
L0.H0,19,Answer with a French word. English: 'Green' / French: ',0.015380859375,0.09375,False,1,3.0623679161071777,2.983074903488159,-0.07929301261901855,0.0015848099719733
L0.H0,20,Answer with a French word. English: 'Heart' / French: ',0.0078125,0.015625,False,1,3.2366106510162354,3.187791585922241,-0.04881906509399414,0.0008174796821549535
L0.H0,21,Answer with a French word. English: 'Death' / French: ',0.016357421875,0.09375,False,1,4.110372543334961,4.032796382904053,-0.0775761604309082,0.0030616133008152246
L0.H0,22,Answer with a French word. English: 'One' / French: ',0.0030517578125,0.015625,False,1,3.6544132232666016,3.624117851257324,-0.030295372009277344,0.0016666888259351254
L0.H0,23,Answer with a French word. English: 'Life' / French: ',0.01123046875,0.125,False,1,2.588224411010742,2.4781668186187744,-0.11005759239196777,0.001792863942682743
L0.H0,24,Answer with a French word. English: 'Daughter' / French: ',0.0,-0.0234375,False,1,4.2693681716918945,4.264166831970215,-0.0052013397216796875,0.0007014579605311155
L0.H0,25,Answer with a French word. English: 'Sugar' / French: ',0.004150390625,0.046875,False,1,2.4239072799682617,2.3621625900268555,-0.06174468994140625,0.0008884895942173898
L0.H0,26,Answer with a French word. English: 'Cat' / French: ',0.005615234375,0.0703125,False,1,4.076155662536621,4.007349491119385,-0.06880617141723633,0.0018815227085724473
L0.H0,27,Answer with a French word. English: 'New' / French: ',0.013671875,0.15625,False,1,0.9126970171928406,0.8350871801376343,-0.0776098370552063,0.001313227228820324
L0.H0,28,Answer with a French word. English: 'Child' / French: ',0.0125732421875,0.0546875,False,1,3.824406147003174,3.7736058235168457,-0.050800323486328125,0.0009571948321536183
L0.H0,29,Answer with a French word. English: 'Red' / French: ',0.0040283203125,0.0625,False,1,4.569415092468262,4.510656833648682,-0.05875825881958008,0.0015446958132088184
L0.H0,30,Answer with a French word. English: 'School' / French: ',-0.0010986328125,0.015625,False,1,3.6245529651641846,3.5733394622802734,-0.05121350288391113,0.0010972314048558474
L0.H0,31,Answer with a French word. English: 'Small' / French: ',0.01171875,0.140625,False,1,1.744065284729004,1.6551460027694702,-0.08891928195953369,0.0014944353606551886
L0.H0,32,Answer with a French word. English: 'Tree' / French: ',0.028076171875,0.125,False,1,2.985780954360962,2.8583316802978516,-0.12744927406311035,0.002394152106717229
L0.H0,33,Answer with a French word. English: 'Black' / French: ',0.006103515625,0.0234375,False,1,4.02031135559082,3.980797529220581,-0.03951382637023926,0.0009238431230187416
L0.H0,34,Answer with a French word. English: 'Good' / French: ',-0.01318359375,-0.046875,False,1,1.9995052814483643,2.000460386276245,0.0009551048278808594,0.0007544847321696579
L0.H0,35,Answer with a French word. English: 'World' / French: ',0.0126953125,0.046875,False,1,2.3817343711853027,2.3373348712921143,-0.04439949989318848,0.0011372609296813607
L0.H0,36,Answer with a French word. English: 'Two' / French: ',0.03173828125,0.1875,False,1,2.6937286853790283,2.5150201320648193,-0.17870855331420898,0.0045245056971907616
L0.H0,37,Answer with a French word. English: 'Key' / French: ',0.0029296875,0.03125,False,1,1.6306860446929932,1.6128066778182983,-0.017879366874694824,0.00023630553914699703
L0.H0,38,Answer with a French word. English: 'Friend' / French: ',-0.00146484375,-0.0078125,False,1,3.794813632965088,3.752746105194092,-0.042067527770996094,0.001034304965287447
